,Latitude,Longitude,StopName,StopStatus,VehDistAlongRoute,VehicleRef
1,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
2,40.742728,-73.974282,1 AV/E 34 ST,< 1 stop away,3920.3399999999997,5912
0,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
1,40.739769,-73.976438,1 AV/E 28 ST,approaching,5656.23,5263
2,40.742816,-73.974219,1 AV/E 34 ST,< 1 stop away,3931.4799999999996,5912
0,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
1,40.739769,-73.976438,1 AV/E 28 ST,approaching,5656.23,5263
2,40.743166,-73.973963,1 AV/E 34 ST,approaching,3975.9999999999995,5912
0,40.743604,-73.973642,1 AV/E 34 ST,approaching,4031.6499999999996,5912
1,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
2,40.74115,-73.975432,1 AV/E 31 ST,approaching,5831.7,5263
0,40.743604,-73.973642,1 AV/E 34 ST,approaching,4031.6499999999996,5912
1,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
2,40.741278,-73.975339,1 AV/E 31 ST,approaching,5847.9400000000005,5263
0,40.743866,-73.97345,1 AV/E 34 ST,approaching,4065.0499999999997,5912
1,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
2,40.742045,-73.97478,1 AV/E 34 ST,< 1 stop away,5945.349999999999,5263
0,40.743779,-73.973513,1 AV/E 34 ST,approaching,4053.9199999999996,5912
1,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
2,40.742683,-73.974315,1 AV/E 34 ST,< 1 stop away,6026.38,5263
0,40.743779,-73.973513,1 AV/E 34 ST,approaching,4053.9199999999996,5912
1,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
2,40.742836,-73.974204,1 AV/E 34 ST,< 1 stop away,6045.83,5263
0,40.743779,-73.973513,1 AV/E 34 ST,approaching,4053.9199999999996,5912
1,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
2,40.743015,-73.974074,1 AV/E 34 ST,approaching,6068.5199999999995,5263
0,40.743779,-73.973513,1 AV/E 34 ST,approaching,4053.9199999999996,5912
1,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
0,40.743779,-73.973513,1 AV/E 34 ST,approaching,4053.9199999999996,5912
1,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
0,40.743779,-73.973513,1 AV/E 34 ST,approaching,4053.9199999999996,5912
1,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
0,40.802766,-73.931496,E 126 ST/2 AV,approaching,11586.240000000002,6035
1,40.744419,-73.973049,1 AV/E 36 ST,approaching,4135.14,5912
0,40.772679,-73.952437,1 AV/E 82 ST,< 1 stop away,7728.41,5714
0,40.7727,-73.952422,1 AV/E 82 ST,< 1 stop away,7731.11,5714
0,40.772359,-73.952672,1 AV/E 79 ST,approaching,7687.77,5908
1,40.772933,-73.95225,1 AV/E 82 ST,< 1 stop away,7760.75,5714
0,40.774225,-73.95131,1 AV/E 82 ST,approaching,7924.8,5908
1,40.774058,-73.951432,1 AV/E 82 ST,approaching,7903.57,5714
0,40.776554,-73.949609,1 AV/E 86 ST,approaching,8220.8,5908
1,40.775142,-73.950644,1 AV/E 86 ST,< 1 stop away,8041.2,5714
0,40.777063,-73.949238,1 AV/E 86 ST,at stop,8285.45,5908
1,40.777247,-73.949103,1 AV/E 89 ST,< 1 stop away,8308.79,5714
0,40.779018,-73.947813,1 AV/E 89 ST,at stop,8533.68,5714
1,40.777063,-73.949238,1 AV/E 86 ST,at stop,8285.45,5908
0,40.777063,-73.949238,1 AV/E 86 ST,at stop,8285.45,5908
1,40.779124,-73.947735,1 AV/E 93 ST,< 1 stop away,8547.189999999999,5714
0,40.777063,-73.949238,1 AV/E 86 ST,at stop,8285.45,5908
1,40.780312,-73.946868,1 AV/E 93 ST,< 1 stop away,8698.099999999999,5714
0,40.78137,-73.94609,1 AV/E 93 ST,at stop,8832.849999999999,5714
1,40.777331,-73.949041,1 AV/E 89 ST,< 1 stop away,8319.58,5908
0,40.778822,-73.947957,1 AV/E 89 ST,at stop,8508.82,5908
1,40.78165,-73.945886,1 AV/ E 97 ST,< 1 stop away,8868.29,5714
0,40.779327,-73.947586,1 AV/E 93 ST,< 1 stop away,8573.06,5908
1,40.78165,-73.945886,1 AV/ E 97 ST,< 1 stop away,8868.29,5714
0,40.779327,-73.947586,1 AV/E 93 ST,< 1 stop away,8573.06,5908
1,40.78165,-73.945886,1 AV/ E 97 ST,< 1 stop away,8868.29,5714
0,40.781138,-73.946261,1 AV/E 93 ST,approaching,8803.21,5908
1,40.78165,-73.945886,1 AV/ E 97 ST,< 1 stop away,8868.29,5714
0,40.781138,-73.946261,1 AV/E 93 ST,approaching,8803.21,5908
1,40.781683,-73.945862,1 AV/ E 97 ST,< 1 stop away,8872.54,5714
0,40.781683,-73.945862,1 AV/ E 97 ST,< 1 stop away,8872.54,5714
1,40.781616,-73.945911,1 AV/ E 97 ST,< 1 stop away,8864.04,5908
0,40.781683,-73.945862,1 AV/ E 97 ST,< 1 stop away,8872.54,5714
1,40.781616,-73.945911,1 AV/ E 97 ST,< 1 stop away,8864.04,5908
0,40.781683,-73.945862,1 AV/ E 97 ST,< 1 stop away,8872.54,5714
1,40.781616,-73.945911,1 AV/ E 97 ST,< 1 stop away,8864.04,5908
0,40.782485,-73.945274,1 AV/ E 97 ST,< 1 stop away,8974.5,5908
1,40.781683,-73.945862,1 AV/ E 97 ST,< 1 stop away,8872.54,5714
0,40.784092,-73.944109,1 AV/ E 97 ST,approaching,9178.410000000002,5908
1,40.781683,-73.945862,1 AV/ E 97 ST,< 1 stop away,8872.54,5714
0,40.784092,-73.944109,1 AV/ E 97 ST,approaching,9178.410000000002,5908
1,40.781683,-73.945862,1 AV/ E 97 ST,< 1 stop away,8872.54,5714
0,40.784092,-73.944109,1 AV/ E 97 ST,approaching,9178.410000000002,5908
1,40.781683,-73.945862,1 AV/ E 97 ST,< 1 stop away,8872.54,5714
0,40.784426,-73.943865,1 AV/ E 97 ST,approaching,9220.890000000001,5908
1,40.781683,-73.945862,1 AV/ E 97 ST,< 1 stop away,8872.54,5714
0,40.785373,-73.943173,1 AV/E 99 ST,at stop,9341.11,5908
0,40.78566,-73.942962,1 AV/E 102 ST,< 1 stop away,9377.76,5908
0,40.709657,-74.001549,PEARL ST/R F WAGNER SR PL,approaching,1380.5,1251
1,40.78654,-73.94232,1 AV/E 102 ST,approaching,9489.47,5908
0,40.787405,-73.941685,1 AV/E 106 ST,< 1 stop away,9599.539999999999,5908
0,40.787372,-73.941709,1 AV/E 102 ST,at stop,9595.31,5908
0,40.787572,-73.941563,1 AV/E 106 ST,< 1 stop away,9620.72,5908
0,40.789338,-73.940274,1 AV/E 106 ST,approaching,9845.14,5908
0,40.789872,-73.939885,1 AV/E 106 ST,at stop,9912.89,5908
0,40.790205,-73.939641,1 AV/E 108 ST,< 1 stop away,9955.29,5908
0,40.790205,-73.939641,1 AV/E 108 ST,< 1 stop away,9955.29,5908
0,40.790572,-73.939373,1 AV/E 108 ST,approaching,10001.94,5908
0,40.791807,-73.938468,1 AV/E 111 ST,< 1 stop away,10158.95,5908
0,40.792515,-73.937953,1 AV/E 111 ST,approaching,10248.81,5908
0,40.79322,-73.937439,1 AV/E 113 ST,approaching,10338.42,5908
0,40.793584,-73.937174,1 AV/E 113 ST,approaching,10384.560000000001,5908
0,40.79441,-73.93657,1 AV/E 116 ST,< 1 stop away,10489.51,5908
0,40.795945,-73.93545,1 AV/E 116 ST,approaching,10684.58,5908
